requestFields,values
invalidemailformat,test
emailblank,
invalidcontactnumber,8yh^&988978798789754gwwq6
firstnameblank ,
lastnameblank,
passwordblank,
alreadyregisteruser,test123@gmail.com
registrationnumberblank,
roleblank,
invalidusername,test.technician1@gmail.c
invalidpassword,Pass@1
withoutusername,
confirmpasswordblank,
contactnumberblank,
invalidfirstname,RU()^89
invalidlastname,Pu&*jhkj90
alreadycreateduser,ruchirapunera3@gmail.com
alreadyusednumber,8958472106
invalidid,87iuhi*&&
invalidisactive,tr
blankid,
blankisactive,
invalidconfirmpassword,678hjvjh08098hjkjkj
oldpasswordblank,
invalidoldpassword,ASkl@123
invaliddoctorid,sdh78**((*(
blankdoctorid,
